exp_moment,animal_ID,model,hpo_config,pretrain_type,n_pretrain_episodes,repeat_idx,total_reward,n_actions,seed,elapsed_s,timestamp
251230-171810,031,DQN,default,target_session,0,4,48.0,171,46,0.17937898635864258,2026-03-16T20:35:34.651105
251230-171810,031,DQN,default,target_session,1,0,40.0,171,42,0.2519810199737549,2026-03-16T20:35:34.903111
251230-171810,031,DQN,default,target_session,1,1,78.0,171,43,0.2925839424133301,2026-03-16T20:35:35.195714
251230-171810,031,DQN,default,target_session,1,2,78.0,171,44,0.2790091037750244,2026-03-16T20:35:35.474745
251230-171810,031,DQN,default,target_session,1,3,64.0,171,45,0.3101341724395752,2026-03-16T20:35:35.784900
251230-171810,031,DQN,default,target_session,1,4,41.0,171,46,0.24949312210083008,2026-03-16T20:35:36.034414
251230-171810,031,DQN,default,target_session,2,0,41.0,171,42,0.3197140693664551,2026-03-16T20:35:36.354153
251230-171810,031,DQN,default,target_session,2,1,115.0,171,43,0.3759288787841797,2026-03-16T20:35:36.730102
251230-171810,031,DQN,default,target_session,2,2,83.0,171,44,0.3431708812713623,2026-03-16T20:35:37.073296
251230-171810,031,DQN,default,target_session,2,3,50.0,171,45,0.3567039966583252,2026-03-16T20:35:37.430020
251230-171810,031,DQN,default,target_session,2,4,125.0,171,46,0.344897985458374,2026-03-16T20:35:37.774939
251230-171810,031,DQN,default,target_session,5,0,96.0,171,42,0.5434541702270508,2026-03-16T20:35:38.318415
251230-171810,031,DQN,default,target_session,5,1,68.0,171,43,0.5951709747314453,2026-03-16T20:35:38.913607
251230-171810,031,DQN,default,target_session,5,2,149.0,171,44,0.5811028480529785,2026-03-16T20:35:39.494732
251230-171810,031,DQN,default,target_session,5,3,144.0,171,45,0.5960860252380371,2026-03-16T20:35:40.090839
251230-171810,031,DQN,default,target_session,5,4,133.0,171,46,0.5647022724151611,2026-03-16T20:35:40.655560
251230-171810,031,DQN,default,target_session,10,0,91.0,171,42,0.9223082065582275,2026-03-16T20:35:41.577894
251230-171810,031,DQN,default,target_session,10,1,53.0,171,43,0.9859342575073242,2026-03-16T20:35:42.563849
251230-171810,031,DQN,default,target_session,10,2,145.0,171,44,0.9558258056640625,2026-03-16T20:35:43.519695
251230-171810,031,DQN,default,target_session,10,3,136.0,171,45,0.9901771545410156,2026-03-16T20:35:44.509894
251230-171810,031,DQN,default,target_session,10,4,151.0,171,46,0.9345049858093262,2026-03-16T20:35:45.444419
251230-171810,031,DQN,default,target_session,20,0,59.0,171,42,1.6729822158813477,2026-03-16T20:35:47.117425
251230-171810,031,DQN,default,target_session,20,1,56.0,171,43,1.7605819702148438,2026-03-16T20:35:48.878027
251230-171810,031,DQN,default,target_session,20,2,152.0,171,44,1.7311537265777588,2026-03-16T20:35:50.609200
251230-171810,031,DQN,default,target_session,20,3,138.0,171,45,1.6970140933990479,2026-03-16T20:35:52.306233
251230-171810,031,DQN,default,target_session,20,4,122.0,171,46,1.7082250118255615,2026-03-16T20:35:54.014478
251229-180544,031,DQN,default,target_session,0,0,46.0,318,42,0.21691393852233887,2026-03-16T20:35:54.231937
251229-180544,031,DQN,default,target_session,0,1,147.0,318,43,0.28556323051452637,2026-03-16T20:35:54.517521
251229-180544,031,DQN,default,target_session,0,2,55.0,318,44,0.2743229866027832,2026-03-16T20:35:54.791866
251229-180544,031,DQN,default,target_session,0,3,78.0,318,45,0.2767171859741211,2026-03-16T20:35:55.068605
